Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
Aarsvold,9781540745712,Sett i gang 2,3,3,0,191,consistent,7/29/19
"Ackerley, C",9780802140494,Grove Companion to Samuel Beckett,1,1,0,185,consistent,7/29/19
Aeschylus,9780226311470,Aeschylus Ii: Four Tragedies 3E,12,0,12,191,consistent,7/29/19
"Al-Hakim, T",9781588268174,Return of the Spirit,5,5,0,191,consistent,7/29/19
"Albrecht, W",9781305079144,Fraud Examination 5E,1,0,1,191,consistent,7/29/19
"Aleinikoff, T",9781634599283,Immigration & Citizenship: Process & Policy 8e,2,0,2,191,consistent,7/29/19
"Alexander, C",9780375404030,The Endurance : Shackleton's Legendary Antarctic Expedition,8,0,8,191,consistent,7/29/19
"Alexander, M",9781119067863,Excel 2016 Formulas,19,19,0,191,consistent,7/29/19
"Allen, J",9781626610187,More Than Just Fairy Tales,4,4,0,181,consistent,7/29/19
"Andersen, H",9780393060812,Annotated Hans Christian Andersen,7,0,7,181,"7 in cage, nesuite says 9",7/29/19
"Anderson, N",9781451001891,Added Upon,7,7,0,191,consistent,7/29/19
"Andrews, G",9780486682525,Number Theory,9,0,9,191,consistent,7/29/19
"Anzaldua, G",9781879960855,Borderlands/La Frontera 4e,5,5,0,191,consistent,7/29/19
"Appleyard, D",9780078021671,International Economics 8E,4,4,0,183,consistent,7/29/19
"Appleyard, D",9781259290626,International Economics 9E,3,0,3,191,consistent,7/29/19
Arbinger Inst,9781626567153,Outard Mindset,2,2,0,191,consistent,7/29/19
"Archer, J",9780787910266,Counseling and Mental Health Services on Campus,3,3,0,193,consistent,7/29/19
"Arnason, H",9780205259472,History of Modern Art 7E,1,1,0,191,consistent,7/29/19
"Arnold, J",9781942799856,New Ways in Teaching w/ Music,2,2,0,185,consistent,7/29/19
"Arvin, G",9780793559381,15 American Art Songs Low Voice W/Access,3,3,0,185,consistent,7/29/19
"Atsitty, t",9780826358677,Rain Scald,1,1,0,193,consistent,7/29/19
"Audesirk, G",9780134168296,Biology : Life On Earth 11E Book Only,9,0,9,193,consistent,7/29/19
"Azar, B",9780132455466,Understanding and Using English Grammar,14,14,0,185,"14 in cage, netsuite says 13",7/29/19
"Azar, B",9780134646114,Basic English Grammar 4E,1,1,0,185,consistent,7/29/19
"Bachelard, G",9789681609238,La Poetica Del Espacio,2,2,0,185,consistent,7/25/19
"Bachmann, K",9781560981749,Conservation Concerns A Gde for Collectors & Curators,1,0,1,191,consistent,7/25/19
"Bailey, K",9780939791545,New Ways In Teaching Speaking,2,0,2,191,consistent,7/25/19
Balmer,9780231165990,Mormonism & American Politics,2,2,0,185,consistent,7/25
"Bard, K",9780470673362,Introduction To Archaeology Of Ancient Egypt 2E,1,0,1,185,consistent,7/25/19
"Barker, J",9781442635920,Ancestral Lines,3,1,2,185,consistent,7/25/19
"Barlow, D",9781305950443,Abnormal Psychology 8E,2,0,2,191,"2 in cage, netsuite says 3, 1 rental",7/25/19
"Barrett, C",9780415778343,Overseas Research: A Practical Guide,2,0,2,191,consistent,7/25/19
"Baruh, H",9781482250732,Applied Dynamics,1,0,1,171,consistent,7/25/19
"Bauer, L",9780140260236,Language Myths,1,0,1,191,consistent,7/25/19
"Bauman, Z",9780631219293,Thinking Sociologically 2E,10,0,10,191,consistent,7/25/19
"Baye, M",9780073523224,Managerial Econ & Bus Strategy 8E,3,0,3,191,consistent,7/25/19
"Baym, N",9780393913095,Norton Anth Of Amer Lit 8E Vol A & B,1,0,1,181,consistent,7/25/19
"Bean, J",9780470532904,Engaging Ideas: Professors Guide 2E,2,0,2,191,consistent,7/25/19
"Beckett, S",9780802132871,"I Can't Go On, I'll Go On",1,0,1,185,consistent,7/25/19
"Behrman, A",9781597564816,Speech & Voice Science 2E,10,7,3,195,consistent,7/25/19
"Belk, M",9781323649015,Biology: Science For Life All-Inclusive Print Option,7,7,0,175,consistent,7/25/19
"Bellamy, E",9781420957686,Looking Backward: 2000-1887,4,4,0,191,consistent,7/25/19
"Benjamin, J",9781319027513,Student's Guide To History 13E,2,0,2,191,consistent,7/25/19
"Benjamin, L",9781118206775,A Brief History of Modern Psychology 2e,1,0,1,193,"1 in cage, netsuite says 5",7/25/19
"Bennet,E",9780130454324,Working With People Who Stutter,1,0,1,193,consistent,7/25/19
"Bentley, J",9780077412067,Traditions & Encounters: Brief Global History Vol Ii 3E,30,0,30,185,consistent,7/25/19
"Beranek, L",9780123914217,Acoustics: Sound Fields and Transducers,1,1,0,191,consistent,7/25/19
Bird,9780470115398,Transport Phenomena 2E Rev,1,0,1,185,consistent,7/25/19
"Blight, D",9781416590316,Frederick Douglas,1,0,1,191,consistent,7/25/19
"Blum, D",9780465026012,Love At Goon Park 2E,5,0,5,191,consistent,7/25/19
"Boas, M",9780471198260,Math Methods In Phys Sciences 3E,3,0,3,191,consistent,7/25/19
Bodie,9780077861674,Investments 10E,2,0,2,185,consistent,7/25/19
"Boerner, P",9783499505775,Johann Wolfgang Von Goethe (#100 Roro),2,2,0,191,consistent,7/25/19
"Bolker, J",9780805048919,Writing Your Dissertation In Fifteen Minutes A Day,2,0,2,191,consistent,7/25/19
"Bolton, R. ",9781631575358,The New Era of the CCO,1,1,0,185,consistent,7/25/19
"Bosher, J",9780393959970,French Revolution,3,0,3,181,consistent,7/25/19
"Boulin, J",9782234059238,Supplément Au Roman National,7,7,0,183,consistent,7/25/19
"Bowen, D",9780253014665,Everyday Life In Muslim Middle East 3E,3,0,3,191,consistent,7/25/19
"Boyle, M",9781492530619,New Functional Training for Sports,5,0,5,191,consistent,7/25/19
"Bradford, M",9780934893688,Uncovering Original Text Of The Book Of Mormon,3,3,0,181,consistent,7/25/19
"Breithaupt, R",9786740691111,Complete Percussionist 2E (Cat. #079-3477-00),1,1,0,185,consistent,7/25/19
"Brewer, R",9781440347733,Writer's Market 2017,1,1,0,181,consistent,7/25/19
Brigham Young Univ.,9781269505543,Mmbio 221 Microbiology Byu Pkg,1,1,0,185,consistent,7/25/19
"Brint, S",9780804782470,Schools and Society 3E,1,1,0,191,consistent,7/25/19
"Bronte, E",9780486292564,Wuthering Heights,2,0,2,185,consistent,7/25/19
"Brooks, M",9781640120334,Strategy strikes Back: How Star Wars Explains Modern Military Conflict,1,1,0,185,consistent,7/25/19
