Latest Adoption Created...,Author,ISBN,Long Title
5/17/2019 10:01 am,"Durrell, M",9781138853713,Hammer's German Grammar and Usage
5/17/2019 10:01 am,"Christison, M",9780415662550,What English Language Teachers Need To Know Vol 3
5/17/2019 10:01 am,"Hutcheon, L",9780415539388,Theory Of Adaptation 2E
5/17/2019 10:01 am,"Nation, I S P",9780415806060,Language Curriculum Design
5/17/2019 9:01 am,Pien,9781626160224,Beginning Hindi A Complete Course
5/17/2019 9:01 am,"Dursteler, E",9781421400723,Renegade Women
5/17/2019 9:01 am,"Brustad, K",9781589016323,Alif Baa W/Cd 3E
5/17/2019 9:01 am,"Mundo, P",9780878407446,National Politics In A Global Economy
5/17/2019 9:01 am,"Seeman, E",9780801898556,Huron-Wednat Feast Of Dead
5/16/2019 5:01 pm,"Lee, P",9780824866365,An Anthology of Traditional Korean Literature
5/16/2019 5:01 pm,"Sohn, H",9780824826949,Korean Lang In Culture & Soc
5/16/2019 5:01 pm,"Holcombe, C",9780824824655,Genesis Of East Asia
5/16/2019 5:01 pm,"Park, M",9780824834500,Integrated Korean: Beg 1 Wkbk 2E
5/16/2019 5:01 pm,"Cho, Y",9780824834401,Integrated Korean: Beginning 2E
5/16/2019 4:01 pm,"Clawson, R",9781506323312,Public Opinion
5/16/2019 4:01 pm,"Jacobson, K",9781506358666,Logic of American Politics 8E
5/16/2019 4:01 pm,"Graber, D",9781506340234,Mass Media & American Politics
5/16/2019 4:01 pm,"Graham, B",9781506350585,America Owner's Manual 2E
5/16/2019 4:01 pm,"Hook, S",9781506321585,U.S. Foreign Policy: The Paradox Of World Power 5E
5/16/2019 4:01 pm,"Briggs, M",9781483356853,Journalism Next 3E
5/16/2019 4:01 pm,"Gottlieb, S",9781452226729,Debating Terrorism & Counterterrorism 2E
5/16/2019 4:01 pm,"Virgillo, C",9780073385372,Aproximaciones Al Estudio De La Lit Hispanica 7E
5/16/2019 4:01 pm,"Block, M",9781608714179,Writing Broadcast News Handbook 3E
5/16/2019 9:01 am,In A Lonely Place,9781681371474,In A Lonely Place
5/16/2019 9:01 am,"Eversole, R",9781138932807,Anthropology for Development
5/16/2019 9:01 am,"Crawford, T",9781621534884,Business and Legal Forms for Illustrators
5/16/2019 9:01 am,"Bickerton, I",9781138243736,History of the Arab-Israeli Conflict
5/16/2019 9:01 am,"Marks, L",9781848725461,Religion & Families
5/16/2019 9:01 am,"Rabiger, M",9780415719308,Directing The Documentary
5/16/2019 9:01 am,"Goldoni, C",9788804683063,La Locandiera (Mandadori)
5/16/2019 9:01 am,"Jones, O",9781466569997,Intro To Scientific Programming & Simulation Using R 2E
5/16/2019 9:01 am,"Brogini, P",9789606632167,Raccontare Il Novecento (Edilingua)
5/16/2019 9:01 am,"Lutrin, B",9780620325844,Afrikaans Handbook & Study Guide
5/16/2019 9:01 am,"Dante, A",9788842511625,Vita Nuova (Mursia)
5/16/2019 9:01 am,Am Psych Assoc,9780890425558,Diagnostic & Statistical Manual Mental Disorders 5E
5/16/2019 9:01 am,"Hinchliffe, I",9780415458009,Swedish : Essential Grammar 2E
5/16/2019 9:01 am,"Mochulsky, K",9780691012995,Dostoevsky His Life & Work (Minihan)
5/16/2019 9:01 am,"Frank, J",9780691155999,Dostoevsky: A Writer In His Time
5/16/2019 9:01 am,"Levi, P",9788806219352,Se Questo E Un Uomo La Tregua (Einaudi)
5/16/2019 9:01 am,"Sherwin, S",9780240808130,Scene Painting Projects For Theatre
5/16/2019 9:01 am,"Wilson, E",9780393330489,CREATION
5/16/2019 9:01 am,"Marin, T",9789607706287,La Prova Orale 1
5/16/2019 8:01 am,"Johnson, K",9781138905429,"Shoot, Edit, Share"
5/16/2019 8:01 am,"Haspelmath, M",9780340950012,Understanding Morphology 2E
5/16/2019 8:01 am,"Wray, A",9781444145366,Projects In Linguistics 3E
5/16/2019 8:01 am,"Weil, D",9780321795731,Economic Growth 3E
5/16/2019 8:00 am,"Schechner, R",9780415502313,Performance Studies 3E
5/15/2019 5:01 pm,"Kirch, P",9780520273306,A Shark Going Inland Is My Chief: The Island Civilization of Ancient Hawai'i
5/15/2019 5:01 pm,"Cook, D",9780520232655,History Of The American Cinema
5/15/2019 5:01 pm,"De Lery, J",9780520082748,History of a Voyage to the Land of Brazil
5/15/2019 5:01 pm,"Broude, N",9780520242524,Reclaiming Female Agency
5/15/2019 4:01 pm,"Pritner, C",9781478634676,Intro to Play Analysis 2E
5/15/2019 4:01 pm,"Cohn, T",9781138958746,Global Political Economy 7E
5/15/2019 4:01 pm,Wales,9781138239821,Complete Guide To Film & Digital Production Rev 3E
5/15/2019 4:01 pm,"Mackey, A",9781138808560,Second Language Research
5/15/2019 4:01 pm,"Damodaran, S",9781482208122,Fennema's Food Chemistry 5E
5/15/2019 4:01 pm,"Bernard, S",9780415843300,Documentary Storytelling 4E
5/15/2019 4:01 pm,"Lundquist, J",9781478613060,Demography: Study Of Human Population 4E
5/15/2019 4:01 pm,"Rabiger, M",9780240818450,Directing: Film Techniques & Aesthetics 5E
5/15/2019 4:01 pm,"Mitchell, K",9780415404396,DIRECTOR'S CRAFT
5/15/2019 4:01 pm,"Glebas, F",9780240810768,Directing The Story: Professional Storytellin
5/15/2019 4:01 pm,Gelman,9781439840955,Bayesian Data Analysis
5/15/2019 4:01 pm,"Stanislavski, C",9780878309832,An Actor Prepares
5/15/2019 4:01 pm,"Anderson, R",9781577664857,Beginning Piano Techniques
5/15/2019 4:01 pm,"Hackney, P",9789056995928,Making Connections
5/15/2019 4:01 pm,"Greetham, D C",9780815317913,Textual Scholarship
5/15/2019 4:01 pm,"Lagrega, M",9781577666936,Hazardous Waste Management 2E
5/15/2019 4:01 pm,"Ritter, D",9781577666691,Process Geomorphology 5E
5/15/2019 3:01 pm,"MARSH, C",9781138037120,STRATEGIC WRITING 4E
5/15/2019 3:01 pm,"Eller, J",9781138675797,Social Science and Historical Perspectives
5/15/2019 3:01 pm,"Hattie, J",9781138635524,10 Mindframes for Visible Learning
5/15/2019 3:01 pm,"Helgeson, V",9781138186873,Psychology Of Gender
5/15/2019 3:01 pm,"Wickham, H",9781466586963,Advanced R
5/15/2019 3:01 pm,"Cain, J",9780375414381,"The Postman Always Rings Twice, Double Indemnity, Mildred Pierce, and Selected Stories"
5/15/2019 3:01 pm,"Corson, R",9780205644544,Stage Makeup 10E
5/15/2019 3:01 pm,"MALANCZUK, P",9780415243568,AKEHURST'S MODERN INTRO TO INTERNATIONAL LAW 8E
5/15/2019 3:01 pm,"Block, B",9780240807799,Visual Story 2E
5/15/2019 3:01 pm,"Cordell, L",9781598746754,Archaeology Of Southwest 3E
5/15/2019 2:01 pm,"Wayment, T",9781944394677,The New Testament: A Translation for Latter-Day Saints
5/15/2019 2:01 pm,"Inouye, M",9781944394806,"Crossings: A Bald Asian American Latter-day Saint Woman Scholar's Ventures Through Life, Death, Cancer, and Motherhood"
5/15/2019 2:01 pm,"Slater, T",9781978189515,Investigating Astronomy
5/15/2019 2:01 pm,"Anderson, N",9781406920215,Added Upon
5/15/2019 2:01 pm,"Watts, A",9781577311805,"Eastern Wisdom, Modern Life: Collected Talks: 1960-1969"
5/15/2019 1:01 pm,"Wall, L",9781505474633,Navajo-English Dictionary
5/15/2019 1:01 pm,"Dorer, K",9781530276004,Sett I Gang
5/15/2019 12:01 pm,Taber,9780803659049,Taber's Cyclopedic Medical Dict Ind 23E
5/15/2019 12:01 pm,Handley,9781118905555,Everybody Writes
5/15/2019 12:01 pm,"O'donnell, M",9781502509468,Health Promotion In The Workplace 4E
5/15/2019 12:01 pm,"Starkey, C",9780803639195,Orthopedic Athletic Injury Exam Handbk 3E
5/15/2019 12:01 pm,"Starkey, C",9780803639188,Exam Of Ortho Athletic Injuries 4E
5/15/2019 12:01 pm,"Mangus, B",9780803611276,Pharmacology Application In Athletic Training
5/15/2019 11:01 am,Iclicker,9781498603058,Iclicker+
5/15/2019 11:01 am,"Glenville, C",9780993543128,What Clients Really Want
5/15/2019 11:01 am,"Foster, J",9781576754306,How To Get Ideas 2E
5/15/2019 10:01 am,"Hacker, D",9781319057442,A Writer's Reference 9E
5/15/2019 10:01 am,"Williams, J",9780134645551,Style 12E W/Pearsonwriter Access Pkg
5/15/2019 9:01 am,Pavlik,9780190646653,Converging Media
5/14/2019 5:01 pm,"King, G",9780691034713,Designing Social Inquiry: Scientific Inference in Qualitative Research
5/14/2019 4:01 pm,"Campbell, J",9780385418867,The Power of Myth
5/14/2019 4:01 pm,"Berry, W",9781582431413,Life is a Miracle
5/13/2019 4:01 pm,Rousseau,9780770436940,Storyboarding Essentials
5/13/2019 4:01 pm,"Alton, J",9780520275843,Painting With Light
5/13/2019 4:01 pm,Schaefer,9780520274662,Masters Of Light
5/13/2019 4:01 pm,"Zwerman, S",9780240825182,Ves Handbook Of Visual Effects 2E
5/13/2019 4:01 pm,Finance Charles L.,9780240812632,Visual Effects Producer
5/13/2019 4:01 pm,"Mccurdy, K",9780240814971,Shoot On Location
5/13/2019 4:01 pm,"Reisz, K",9780240521855,Technique Of Film Editing (Reissue) 2E
5/13/2019 4:01 pm,"Miller, P",9780240802947,Script Supervising & Film Continuity 3E
5/13/2019 2:01 pm,"Gill, L",9780240821467,Running The Show
5/13/2019 12:02 pm,"Fischer, L",9780813564357,Art Direction & Production Design
5/13/2019 12:02 pm,"Donaldson, M",9781935247128,Clearance & Copyright
5/13/2019 12:02 pm,Gordon,9781495076701,11 Contracts That Every Artist Songwriter & Producer Should Know
5/13/2019 12:02 pm,Cross,9780876391341,Audio Post Production
